components:,haversine_error_tr,haversine_error_te
2,2074.8616032650343,2108.795726755409
12,1423.2639697553802,1551.5317187237765
22,1320.1948522195541,1477.1575880302923
32,1095.2478167973254,1349.0801151250218
42,1011.670978048786,1306.5026428596523
52,1005.5242335539699,1316.3130469023574
62,938.953658603675,1278.7464979555873
72,895.3574530732537,1265.6557272330124
82,847.6622290649345,1247.7568113069253
92,820.2291840628338,1242.4870372129312
102,801.7940160684893,1229.4941267834636
112,773.8423628283873,1225.941033674994
122,743.6954841250662,1217.9615425507952
132,725.8580050186871,1210.6802282496512
142,701.5197312498678,1200.3694887849692
152,671.7114102794746,1203.9396054154656
162,648.1617485607048,1201.1121026063279
172,630.7939475257137,1199.043227135714
182,611.0769517459594,1184.033653436911
192,595.7371058443116,1187.5566350124764
202,559.9856347764422,1185.8231814262358
212,552.5167745507789,1179.4461514321083
222,520.0188751138787,1178.1547767116767
232,505.91129960644037,1167.514354851264
242,482.6486098537812,1172.4272818068
252,451.3467714060795,1170.7935450831335
262,437.66122157902373,1166.857120692305
272,420.4289202975925,1164.8232243849488
282,398.12486378615245,1163.1620130289468
292,375.9126614116066,1159.1258311882011
302,355.7417465453137,1156.3776769857445
312,339.48652828840557,1164.8979831371062
322,320.46060763855303,1156.2045803413343
332,289.14564973355425,1150.0752967092728
342,271.9701075220594,1149.115830541626
352,254.3698119245875,1149.3240819779433
362,212.1809032679069,1145.8648841920808
372,191.14083637641482,1148.0612330781983
382,167.28322376409355,1148.636753934236
392,144.04376416590176,1144.8958672214915
402,112.358501406594,1145.0157185774524
412,88.11821372040937,1142.2358065558587
422,63.357610411642085,1145.4492904639815
432,44.0021960245317,1143.244209919925
