components:,haversine_error_tr,haversine_error_te
2,2060.8911689828287,2079.266234529847
12,1426.9129424921193,1537.0648932138527
22,1307.7445890694553,1447.14974552434
32,1110.288909091949,1346.3569598914441
42,992.1329111297476,1287.8189198382383
52,991.2449363411422,1279.655299296777
62,943.2820233258983,1260.286740928737
72,893.124214028571,1243.2175557899313
82,859.2204642857178,1224.9141247529187
92,833.7032862594584,1222.095432760169
102,793.1981938751043,1217.5144332366024
112,769.9123409731804,1213.0193652586956
122,752.2387527993637,1202.735605634653
132,717.100017138573,1191.9822924321134
142,700.1688474885516,1187.0184363895582
152,672.02396292893,1193.0852374004692
162,664.1589852886591,1184.1450990465914
172,631.3306478067536,1179.4669870904659
182,610.3321281307597,1174.527458674613
192,597.9117760803015,1169.5402799404976
202,568.9016507442618,1165.490663412017
212,545.3454873641369,1168.8054783030825
222,514.6326563585201,1162.016812841212
232,502.69714899021653,1159.3541749691408
242,483.78865122201086,1156.9135444771412
252,458.0717636032905,1151.3585988692153
262,439.7011641447192,1149.4767773921417
272,419.31850931433485,1147.9522951380513
282,394.06388719475024,1144.5984665772996
292,376.0458382819786,1141.2887779402413
302,357.121957768059,1145.6087949844302
312,334.8426775452846,1145.8997281894947
322,311.9476694259243,1141.9239637787286
332,299.7761094576017,1133.1690558467678
342,269.5612725702163,1133.9252169163292
352,257.52002178565726,1133.9638988502484
362,215.4000625929441,1129.4153974833196
372,195.22802209165553,1127.2517838237454
382,168.74270849606842,1129.458393370935
392,142.70976551379584,1126.143858486109
402,117.13691103851431,1126.8434375463476
412,88.23025841030707,1125.995220492512
422,63.392634440668346,1124.2151876568703
432,46.35719639711521,1125.3059238440987
